iso3,latest_year,latest_p_transition,latest_pred_transition,avg_p_transition_all,avg_p_transition_recentN,n_years_all,n_years_recentN,avg_d_co2_per_capita_recentN,avg_d_ln_co2_intensity_recentN,avg_d_ln_gdp_pc_recentN,priority_score,rank
CHE,2018,0.9000937048040198,1,0.576259713935875,0.8966633364141984,28,5,,,,0.8966633364141984,1
LUX,2018,0.8866559794228553,1,0.7051744772619805,0.8835513600550634,28,5,,,,0.8835513600550634,2
SWE,2018,0.8902616808520792,1,0.5946401675304669,0.8835237558399089,28,5,,,,0.8835237558399089,3
DNK,2018,0.8777853560283941,1,0.639300515132118,0.869183077246141,28,5,,,,0.869183077246141,4
GBR,2018,0.8689317632865046,1,0.5194200305952418,0.8615357984227809,28,5,,,,0.8615357984227809,5
HKG,2018,0.885181153828014,1,0.5560659222789345,0.8551882062492254,28,5,,,,0.8551882062492254,6
BMU,2018,0.8755512715858826,1,0.5380297650532035,0.8437626383654184,28,5,,,,0.8437626383654184,7
AUT,2018,0.8570124876324301,1,0.5713460849610078,0.8415859013111471,28,5,,,,0.8415859013111471,8
NOR,2018,0.8678004343008303,1,0.5671375113964747,0.8413703688211257,28,5,,,,0.8413703688211257,9
FIN,2018,0.8326249233313553,1,0.6086210210770211,0.8409739363786116,28,5,,,,0.8409739363786116,10
ISR,2018,0.8426795047716585,1,0.5585972923643113,0.8374615427089365,28,5,,,,0.8374615427089365,11
IRL,2018,0.8679118473868709,1,0.6099585030320277,0.8356690898980391,28,5,,,,0.8356690898980391,12
LIE,2018,0.793811104010938,1,0.5593731579987732,0.8323109495872002,28,5,,,,0.8323109495872002,13
FRA,2018,0.8756296452772218,1,0.5090830595766571,0.8305435786186157,28,5,,,,0.8305435786186157,14
BEL,2018,0.8276330851861627,1,0.5606241701576136,0.8271626568600663,28,5,,,,0.8271626568600663,15
NLD,2018,0.838934036244974,1,0.5173682448092515,0.82530466768724,28,5,,,,0.82530466768724,16
DEU,2018,0.8412313634175471,1,0.4355321525191095,0.8230420032281385,28,5,,,,0.8230420032281385,17
NZL,2018,0.8373120410115672,1,0.5695353420613875,0.8177976903351277,28,5,,,,0.8177976903351277,18
SGP,2018,0.8217596472129536,1,0.6194556306495487,0.8177735044506413,28,5,,,,0.8177735044506413,19
JPN,2018,0.8445555108833402,1,0.419238732884942,0.7945030435658552,28,5,,,,0.7945030435658552,20
ISL,2018,0.8245668774449506,1,0.5596329431377606,0.7811044031022965,28,5,,,,0.7811044031022965,21
MAC,2018,0.7020157206519733,1,0.5205637808274199,0.7786664643775758,28,5,,,,0.7786664643775758,22
ARE,2018,0.72003155890954,1,0.6561233229195329,0.7437087911184092,28,5,,,,0.7437087911184092,23
AUS,2018,0.7620690523909821,1,0.4618938938381859,0.7425619553276277,28,5,,,,0.7425619553276277,24
AND,2018,0.7556011823204736,1,0.4924736594230625,0.7317058437564473,28,5,,,,0.7317058437564473,25
TTO,2018,0.7484838969433745,1,0.5837309155268142,0.7278456714818826,28,5,,,,0.7278456714818826,26
CUW,2018,0.661255723205561,1,0.620378382522329,0.7237093988271229,18,5,,,,0.7237093988271229,27
ITA,2018,0.7547889345188556,1,0.4748106651485851,0.7172514264465593,28,5,,,,0.7172514264465593,28
CAN,2018,0.7203770043484659,1,0.4533250819483351,0.7087122766643004,28,5,,,,0.7087122766643004,29
ESP,2018,0.7032925033250939,1,0.4645691938610475,0.6865331720711783,28,5,,,,0.6865331720711783,30
SVN,2018,0.706419551311827,1,0.5251620592239659,0.6842027288256605,28,5,,,,0.6842027288256605,31
GRC,2018,0.6963102186016563,1,0.5169122497024753,0.6797436160793532,28,5,,,,0.6797436160793532,32
KWT,2018,0.6594016109158283,1,0.6042204862813508,0.6751918771088092,28,5,,,,0.6751918771088092,33
PRT,2018,0.7438940052415407,1,0.5132834688269372,0.6730057817597104,28,5,,,,0.6730057817597104,34
BHR,2018,0.6791389656297856,1,0.5770230730053222,0.672219328875711,28,5,,,,0.672219328875711,35
QAT,2018,0.6475420739990446,1,0.6386597823495419,0.6676659095529719,28,5,,,,0.6676659095529719,36
EST,2018,0.6976349831983617,1,0.5713871149705256,0.6582785329194851,25,5,,,,0.6582785329194851,37
BRN,2018,0.6459032725513124,1,0.5847278775663008,0.6543417721327824,28,5,,,,0.6543417721327824,38
CZE,2018,0.6941945373690043,1,0.5578581633887995,0.6524532918126599,28,5,,,,0.6524532918126599,39
NCL,2018,0.683410866355147,1,0.5147276644551325,0.6519511305753095,28,5,,,,0.6519511305753095,40
BHS,2018,0.6568163529718405,1,0.5205321677028657,0.6413577640228129,28,5,,,,0.6413577640228129,41
OMN,2018,0.6341798500418493,1,0.5130179999160601,0.6354522324558793,28,5,,,,0.6354522324558793,42
CYP,2018,0.6654384698725678,1,0.5205551853456492,0.6317630398005859,28,5,,,,0.6317630398005859,43
SVK,2018,0.6581884300312076,1,0.5311039806752016,0.631160987166472,28,5,,,,0.631160987166472,44
USA,2018,0.7002647432324697,1,0.3996963411197419,0.624378954579274,28,5,,,,0.624378954579274,45
KAZ,2018,0.6084636441960085,1,0.5747971156241088,0.6139691355098563,28,5,,,,0.6139691355098563,46
ABW,2018,0.6243549612717669,1,0.4690058239249683,0.6132925120296624,28,5,,,,0.6132925120296624,47
FRO,2018,0.6519522628415574,1,0.481550227252666,0.6120851023573357,28,5,,,,0.6120851023573357,48
TKM,2018,0.5996178934395954,1,0.5863726421114773,0.6073954128344863,28,5,,,,0.6073954128344863,49
BRB,2018,0.6116212778643795,1,0.4659827293231014,0.6060511780135275,28,5,,,,0.6060511780135275,50
GRL,2018,0.6144855477278814,1,0.4435261462026506,0.5973702317108571,28,5,,,,0.5973702317108571,51
UKR,2018,0.5732626394160204,1,0.5471345553699891,0.5970685552851407,28,5,,,,0.5970685552851407,52
MNG,2018,0.6125548240594036,1,0.5502112408732185,0.5934892371724707,28,5,,,,0.5934892371724707,53
MLT,2018,0.5630367842994342,1,0.4971845408948612,0.5789956332086252,28,5,,,,0.5789956332086252,54
VEN,2018,0.492551033580436,0,0.4815718330093181,0.5789084047251223,28,5,,,,0.5789084047251223,55
GNQ,2018,0.516780460615026,1,0.4926249216815434,0.5730233690504908,28,5,,,,0.5730233690504908,56
KOR,2018,0.6919513837310625,1,0.362351471403774,0.5729046170643297,28,5,,,,0.5729046170643297,57
LBY,2018,0.5602389295585207,1,0.4945972001774946,0.5698691706352315,28,5,,,,0.5698691706352315,58
BGR,2018,0.5809557443909593,1,0.5620182110671312,0.5607642194000813,28,5,,,,0.5607642194000813,59
BLR,2018,0.5351799318628484,1,0.5758718044844652,0.5570315942817892,28,5,,,,0.5570315942817892,60
SRB,2018,0.5603687503922098,1,0.525809824826415,0.5556081264009414,23,5,,,,0.5556081264009414,61
BIH,2018,0.5338657863342217,1,0.5294838995452014,0.5510678108118617,28,5,,,,0.5510678108118617,62
LTU,2018,0.623831714391798,1,0.4809021922131936,0.5483622157040393,23,5,,,,0.5483622157040393,63
SYR,2017,0.5458961902599523,1,0.5178680906812624,0.5397036273736007,27,5,,,,0.5397036273736007,64
HUN,2018,0.5929910915287355,1,0.46454207458107,0.5338472979446622,28,5,,,,0.5338472979446622,65
SUR,2018,0.4123575969216502,0,0.4954402693717618,0.5047677997517603,28,5,,,,0.5047677997517603,66
HRV,2018,0.5190337178003936,1,0.4656901342189907,0.5044639434476981,28,5,,,,0.5044639434476981,67
LBN,2018,0.5421675626845764,1,0.4438529613369062,0.4967444702508358,28,5,,,,0.4967444702508358,68
CHL,2018,0.5227190788478269,1,0.4256658556599275,0.4921227717840329,28,5,,,,0.4921227717840329,69
SAU,2018,0.4613626991486792,0,0.4593358131290878,0.4910071455434996,28,5,,,,0.4910071455434996,70
KGZ,2018,0.5056720873705451,1,0.5532721994723699,0.486092286350649,28,5,,,,0.486092286350649,71
YEM,2013,0.5007991668218472,1,0.4368866596971569,0.4706373547728969,23,5,,,,0.4706373547728969,72
LAO,2018,0.4345418467723329,0,0.4183672932625502,0.4699259516253532,28,5,,,,0.4699259516253532,73
JOR,2018,0.4694765429728246,0,0.4718130133318843,0.4693370308499766,28,5,,,,0.4693370308499766,74
MYS,2018,0.4365332181159671,0,0.4359497150679492,0.4674264099450889,28,5,,,,0.4674264099450889,75
TJK,2018,0.4865768076039618,0,0.5241110768675149,0.4667264632186738,28,5,,,,0.4667264632186738,76
LVA,2018,0.5689630573531146,1,0.4298126374218753,0.4619337023430921,23,5,,,,0.4619337023430921,77
ZAF,2018,0.3900449326422833,0,0.4420991243005655,0.4605057050558323,28,5,,,,0.4605057050558323,78
UZB,2018,0.4982805977591471,0,0.5561209364813388,0.460114212153848,28,5,,,,0.460114212153848,79
MRT,2018,0.4694538814289595,0,0.4141521396342589,0.4595674704851987,28,5,,,,0.4595674704851987,80
GAB,2018,0.438158789988376,0,0.4428026980303922,0.4590327095284301,28,5,,,,0.4590327095284301,81
AZE,2018,0.4419112727577013,0,0.5261358158214456,0.4580918793645414,28,5,,,,0.4580918793645414,82
AGO,2018,0.4135680225160727,0,0.4585102168863142,0.4525437324500265,28,5,,,,0.4525437324500265,83
TUN,2018,0.455621830764721,0,0.4208731893247206,0.4511613304048928,28,5,,,,0.4511613304048928,84
BWA,2018,0.4319205308457326,0,0.4173838318329834,0.4480361729485725,28,5,,,,0.4480361729485725,85
LSO,2018,0.4365738787389213,0,0.4379167569738583,0.4469395388230792,28,5,,,,0.4469395388230792,86
GEO,2018,0.4369374158615707,0,0.468805001821957,0.4451745958473515,28,5,,,,0.4451745958473515,87
MKD,2018,0.43889363064691,0,0.490849939636182,0.4443218211266044,28,5,,,,0.4443218211266044,88
ROU,2018,0.4684613430906583,0,0.5226188495745302,0.4433398363324891,28,5,,,,0.4433398363324891,89
URY,2018,0.4488217701935606,0,0.4171713111099898,0.4430232216243369,28,5,,,,0.4430232216243369,90
ECU,2018,0.4144975428227211,0,0.4258100565840002,0.442002177488122,28,5,,,,0.442002177488122,91
COG,2018,0.4127480514426122,0,0.4442169085848011,0.4418026703708049,28,5,,,,0.4418026703708049,92
PNG,2018,0.4350040869427441,0,0.423719441878673,0.4417195622765601,28,5,,,,0.4417195622765601,93
CUB,2015,0.4304668466617508,0,0.418595506727732,0.4405032134390406,25,5,,,,0.4405032134390406,94
JAM,2018,0.4246790352099097,0,0.4416299668855669,0.4383490893299543,28,5,,,,0.4383490893299543,95
NAM,2018,0.4254451304626188,0,0.413086482232604,0.4380840905624565,27,5,,,,0.4380840905624565,96
MOZ,2018,0.3668530416527807,0,0.3938964063264046,0.4348424063875574,27,5,,,,0.4348424063875574,97
MNE,2018,0.4404791277175879,0,0.4225858935021979,0.4341715196468069,21,5,,,,0.4341715196468069,98
ZWE,2018,0.4819580267983013,0,0.5112043958681516,0.434033294188762,28,5,,,,0.434033294188762,99
ARG,2018,0.4622476221668293,0,0.3499203106115156,0.4337609544757767,28,5,,,,0.4337609544757767,100
ALB,2018,0.4298398725250426,0,0.4450463010949785,0.4319642845980443,28,5,,,,0.4319642845980443,101
KHM,2018,0.4111238033724679,0,0.3985310526088159,0.4305065645663049,28,5,,,,0.4305065645663049,102
TLS,2018,0.431914749797803,0,0.4016844945790878,0.4295757742223767,24,5,,,,0.4295757742223767,103
CMR,2018,0.4074772301179886,0,0.413911877979701,0.4281336169634055,28,5,,,,0.4281336169634055,104
HND,2018,0.4354451856683834,0,0.4108719592910945,0.4274291149052215,28,5,,,,0.4274291149052215,105
SDN,2018,0.4945638132807488,0,0.3898936746368862,0.4264616178840691,28,5,,,,0.4264616178840691,106
MUS,2018,0.4288861384062963,0,0.4009594215301629,0.4261028727476198,28,5,,,,0.4261028727476198,107
LKA,2018,0.4197223153588138,0,0.4010097967786376,0.4253920559069762,28,5,,,,0.4253920559069762,108
PAN,2018,0.4210659736959823,0,0.4108463311216414,0.4252961375609375,28,5,,,,0.4252961375609375,109
FJI,2018,0.4024445709518987,0,0.4058801398892941,0.424298826810855,28,5,,,,0.424298826810855,110
NIC,2018,0.4350125884613169,0,0.4079374337247944,0.423862057514193,28,5,,,,0.423862057514193,111
BOL,2018,0.407861423265097,0,0.4378946911026755,0.4222577368583861,28,5,,,,0.4222577368583861,112
MDA,2018,0.4095764441099169,0,0.510508098165653,0.421918016514326,28,5,,,,0.421918016514326,113
GHA,2018,0.4005127321963004,0,0.4103336304895332,0.421782030361748,28,5,,,,0.421782030361748,114
ZMB,2018,0.4551606353861457,0,0.386534043240367,0.4215140118590187,28,5,,,,0.4215140118590187,115
SEN,2018,0.4036292449358125,0,0.412602731556286,0.4211292732587514,28,5,,,,0.4211292732587514,116
GUY,2018,0.4250851550866373,0,0.4283125913143078,0.420823529517572,28,5,,,,0.420823529517572,117
BTN,2018,0.4188392994860463,0,0.4031029646692745,0.4204364118339035,28,5,,,,0.4204364118339035,118
ARM,2018,0.4136328211977515,0,0.4688954315550568,0.4193218066718695,28,5,,,,0.4193218066718695,119
POL,2018,0.4832076659916693,0,0.4178920329997968,0.4186050292966703,28,5,,,,0.4186050292966703,120
PRY,2018,0.4184556272165685,0,0.4011665735647977,0.4178629476169557,28,5,,,,0.4178629476169557,121
BEN,2018,0.4066514062941805,0,0.4045747126520888,0.4175073355109905,28,5,,,,0.4175073355109905,122
SLB,2018,0.394014607106749,0,0.359750126299653,0.4170243771553057,28,5,,,,0.4170243771553057,123
DOM,2018,0.4191684821567709,0,0.4088978144774998,0.4168095599141276,28,5,,,,0.4168095599141276,124
NPL,2018,0.3996472732587013,0,0.4237593427900061,0.4155633394916838,28,5,,,,0.4155633394916838,125
SWZ,2018,0.395249123441191,0,0.4173790545694973,0.4140639884880947,28,5,,,,0.4140639884880947,126
SLV,2018,0.4088868805936157,0,0.4022537526740212,0.4132694638336628,28,5,,,,0.4132694638336628,127
CIV,2018,0.3923617899549216,0,0.4086403800113021,0.4073058518429747,28,5,,,,0.4073058518429747,128
CPV,2018,0.3904322333242491,0,0.3652899889388019,0.4024302670957715,28,5,,,,0.4024302670957715,129
IRQ,2018,0.4159769006943719,0,0.4692521998050697,0.4021342717193791,28,5,,,,0.4021342717193791,130
GIN,2018,0.4006050124873292,0,0.3796893610933772,0.4010366541888475,28,5,,,,0.4010366541888475,131
BLZ,2018,0.3860276599112432,0,0.3612186605627198,0.4001364873845038,28,5,,,,0.4001364873845038,132
BRA,2018,0.3740858357578702,0,0.2380853024686297,0.3985579350617339,28,5,,,,0.3985579350617339,133
DJI,2018,0.3824460247473957,0,0.3898394199660884,0.3961796258223031,28,5,,,,0.3961796258223031,134
GTM,2018,0.400723655492135,0,0.3998444457693121,0.3952367015713868,28,5,,,,0.3952367015713868,135
CRI,2018,0.4048312610216426,0,0.3945807839412824,0.3949342082622711,28,5,,,,0.3949342082622711,136
GMB,2018,0.3858869353331331,0,0.3870101727657196,0.3910974975095408,28,5,,,,0.3910974975095408,137
TGO,2018,0.3584626930768527,0,0.4114398668075108,0.3903155238328567,28,5,,,,0.3903155238328567,138
PSE,2018,0.3944543912375459,0,0.4064514181029876,0.3888685693904422,24,5,,,,0.3888685693904422,139
PYF,2018,0.373299185107374,0,0.3693998458048279,0.3880663692693221,28,5,,,,0.3880663692693221,140
COM,2018,0.4010470221432488,0,0.3510547463238289,0.3878624742391507,28,5,,,,0.3878624742391507,141
MDV,2018,0.3940269594458484,0,0.3588700993387191,0.3856075546934458,28,5,,,,0.3856075546934458,142
MEX,2018,0.2644555370838266,0,0.227983531857835,0.3824173956476423,28,5,,,,0.3824173956476423,143
DZA,2018,0.4120362523585678,0,0.4011159307040229,0.3816670009504513,28,5,,,,0.3816670009504513,144
MMR,2018,0.4165178250591919,0,0.3841843773880748,0.3808711663360898,28,5,,,,0.3808711663360898,145
BDI,2018,0.405768626310213,0,0.4728461034282588,0.378646198550289,28,5,,,,0.378646198550289,146
PER,2018,0.3258360220487345,0,0.3948150541184719,0.378478346464569,28,5,,,,0.378478346464569,147
AFG,2018,0.3932550686678291,0,0.411159116801634,0.3762844391116309,18,5,,,,0.3762844391116309,148
HTI,2018,0.3798557172293427,0,0.3725976472146749,0.3694346612275485,28,5,,,,0.3694346612275485,149
BFA,2018,0.3636288689709585,0,0.3789127545467696,0.3612853530820165,28,5,,,,0.3612853530820165,150
CAF,2018,0.3384209961618578,0,0.3875772061997317,0.3584720690448652,28,5,,,,0.3584720690448652,151
MDG,2018,0.3596382490517598,0,0.3857003635005331,0.3579428026317083,28,5,,,,0.3579428026317083,152
LBR,2018,0.3468991935657298,0,0.4507276842744102,0.3533092383601044,28,5,,,,0.3533092383601044,153
MAR,2018,0.3301716671457909,0,0.3813947062870657,0.3526199048819156,28,5,,,,0.3526199048819156,154
MLI,2018,0.3603308869902665,0,0.3497478676572986,0.3522538455184048,28,5,,,,0.3522538455184048,155
WSM,2018,0.3555810550988883,0,0.3156233971373547,0.3485861504468514,28,5,,,,0.3485861504468514,156
VUT,2018,0.3813580716631895,0,0.3209497298778375,0.3465942320722229,28,5,,,,0.3465942320722229,157
TCD,2018,0.3145768649485901,0,0.4087356557384416,0.3400604052013667,28,5,,,,0.3400604052013667,158
STP,2018,0.327508816253111,0,0.2913896404633441,0.3397447763662819,28,5,,,,0.3397447763662819,159
COL,2018,0.2869503815461821,0,0.3443183945367932,0.3392723261373968,28,5,,,,0.3392723261373968,160
SLE,2018,0.3297229910974276,0,0.4153599420117131,0.3388135201921672,28,5,,,,0.3388135201921672,161
NGA,2018,0.3230601473105462,0,0.3121981499835967,0.3349277697670207,28,5,,,,0.3349277697670207,162
GNB,2018,0.3313951828900947,0,0.358098204153969,0.3340251643338919,28,5,,,,0.3340251643338919,163
NER,2018,0.319925322312818,0,0.3950317902743736,0.3285175511610732,28,5,,,,0.3285175511610732,164
MWI,2018,0.3520626344551648,0,0.3818725237187982,0.3274954866656822,28,5,,,,0.3274954866656822,165
KEN,2018,0.291698388417112,0,0.367117480764066,0.3181601463007042,28,5,,,,0.3181601463007042,166
SOM,2018,0.312974452665587,0,0.4050618000516046,0.3115695610831016,28,5,,,,0.3115695610831016,167
RWA,2018,0.310371845615056,0,0.3908717372159252,0.3107147807954734,28,5,,,,0.3107147807954734,168
COD,2018,0.2457673834418851,0,0.3797551860278836,0.303418398719493,28,5,,,,0.303418398719493,169
IRN,2018,0.4049055276296298,0,0.2548129530186552,0.302729573163896,28,5,,,,0.302729573163896,170
LCA,2018,0.2976921180369843,0,0.277801481833423,0.3014046434450884,28,5,,,,0.3014046434450884,171
TUR,2018,0.3467146801406513,0,0.2202097204921298,0.2989324886381242,28,5,,,,0.2989324886381242,172
UGA,2018,0.2847766978510683,0,0.3602408097982407,0.2967475724710392,28,5,,,,0.2967475724710392,173
TZA,2018,0.2565041800765276,0,0.3444738982349302,0.2910079432769302,28,5,,,,0.2910079432769302,174
KIR,2018,0.2830660622210734,0,0.2455918967373034,0.2873265517719506,28,5,,,,0.2873265517719506,175
PAK,2018,0.3743254808788326,0,0.2485242601318426,0.2853007426174096,28,5,,,,0.2853007426174096,176
TCA,2018,0.3092186591207067,0,0.2757491087671339,0.2807738913972636,17,5,,,,0.2807738913972636,177
RUS,2018,0.2348530909107298,0,0.2943142036320345,0.2738342848863179,28,5,,,,0.2738342848863179,178
VCT,2018,0.2758185841545952,0,0.2606634675643474,0.2727665437652915,28,5,,,,0.2727665437652915,179
GRD,2018,0.2605468971978862,0,0.2456668581905024,0.2617797208211161,28,5,,,,0.2617797208211161,180
TUV,2018,0.2877313836962557,0,0.2774564572414451,0.2508244356370984,28,5,,,,0.2508244356370984,181
CHN,2018,0.2325188612094639,0,0.1456511952236775,0.2506572694063938,28,5,,,,0.2506572694063938,182
FSM,2018,0.2357439640627393,0,0.3118776188029939,0.2476642122074873,26,5,,,,0.2476642122074873,183
TON,2018,0.2332580158531319,0,0.2608732156971405,0.24452214067376,28,5,,,,0.24452214067376,184
BGD,2018,0.2553172215197306,0,0.2313949113807722,0.2436008521075259,28,5,,,,0.2436008521075259,185
SYC,2018,0.3436959420882484,0,0.2149317667580008,0.2417477987557494,28,5,,,,0.2417477987557494,186
ETH,2018,0.2225921248962674,0,0.2861113589397405,0.227385767017151,28,5,,,,0.227385767017151,187
DMA,2018,0.2145576100666706,0,0.2171336896518926,0.217521672373962,28,5,,,,0.217521672373962,188
MHL,2018,0.2095624801813985,0,0.2328222633701013,0.2165488193699672,26,5,,,,0.2165488193699672,189
ATG,2018,0.267873930955424,0,0.2087263011753787,0.2149757668821253,28,5,,,,0.2149757668821253,190
EGY,2018,0.2582772591953227,0,0.2164552562079003,0.2121141036650475,28,5,,,,0.2121141036650475,191
THA,2018,0.2109130136043973,0,0.1961318601485104,0.2079842421671672,28,5,,,,0.2079842421671672,192
PLW,2018,0.1977736607178838,0,0.2391143469015623,0.203347747997905,28,5,,,,0.203347747997905,193
NRU,2018,0.1931278891441785,0,0.536657827753828,0.1995255953293542,28,5,,,,0.1995255953293542,194
PHL,2018,0.1819825610932212,0,0.2485864162419897,0.1938644150037218,28,5,,,,0.1938644150037218,195
KNA,2018,0.201744702626684,0,0.1870847878692765,0.192739545026852,28,5,,,,0.192739545026852,196
IDN,2018,0.1719880795734963,0,0.1835126144492068,0.1912552672475319,28,5,,,,0.1912552672475319,197
VNM,2018,0.1666921387755731,0,0.2083200963319301,0.1792347363569248,28,5,,,,0.1792347363569248,198
IND,2018,0.1831461517183769,0,0.1399320816736557,0.1630904559490404,28,5,,,,0.1630904559490404,199
